epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
39 ,0,0,0,0,0,0,36864,0,36864,73728,0,73728,301056,18816,319872,15678,2940,18618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,137216,18816,14488320,0.0159315,33451,0.00303473,221184,0.00835972,103.282,0.00497941,286.419,0.0114942
40 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619776,0,338688,112896,22014720,0.0242076,112896,0.0102421,525312,0.0198543,164.569,0.0267774,205.807,0.0278745
41 ,0,0,0,0,0,0,73728,0,73728,345600,0,345600,112896,112896,225792,17640,17640,35280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,154368,112896,16595712,0.0182488,112896,0.0102421,442368,0.0167194,78.5069,0.012774,164.97,0.0223436
42 ,0,0,0,0,0,0,55296,0,55296,110592,0,110592,545664,112896,658560,32340,10290,42630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319872,0,281088,37632,21732480,0.0238972,50176,0.00455205,331776,0.0125396,104.981,0.00759184,301.943,0.0181756
43 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338688,112896,619776,0,22014720,0.0242076,112896,0.0102421,525312,0.0198543,164.569,0.0267774,205.807,0.0278745
44 ,0,0,0,0,0,0,73728,0,73728,345600,0,345600,112896,112896,225792,17640,17640,35280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154368,112896,451584,0,16595712,0.0182488,112896,0.0102421,442368,0.0167194,78.5069,0.012774,164.97,0.0223436
45 ,0,0,0,0,0,0,55296,0,55296,110592,0,110592,545664,112896,658560,32340,10290,42630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281088,37632,319872,0,21732480,0.0238972,50176,0.00455205,331776,0.0125396,104.981,0.00759184,301.943,0.0181756
46 ,0,0,0,0,0,0,87552,0,87552,428544,0,428544,451584,112896,564480,70560,17640,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338688,112896,619776,0,22014720,0.0242076,112896,0.0102421,525312,0.0198543,164.569,0.0267774,205.807,0.0278745
47 ,0,0,0,0,0,0,57600,0,57600,297216,0,297216,112896,28224,141120,17640,4410,22050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112896,0,154368,28224,4148928,0.00456219,112896,0.0102421,345600,0.0130621,55.5521,0.009039,120.801,0.0163613
48 ,0,0,0,0,0,0,92160,0,92160,184320,0,184320,257152,47040,304192,14210,4287,18497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,7840,198784,7840,9047360,0.00994855,30720,0.00278697,552960,0.0208993,130.772,0.00579,704.982,0.0259817
49 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343720,47040,194040,47040,15193920,0.0167074,153600,0.0139348,1082880,0.0409278,152.621,0.0337869,275.42,0.0507522
50 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116160,47040,188160,0,6914880,0.00760365,69120,0.00627068,576000,0.0217701,113.643,0.0113211,319.389,0.0264845
51 ,0,0,0,0,0,0,153600,0,153600,307200,0,307200,415520,47040,462560,23275,4287,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341760,7840,227360,7840,15076320,0.016578,51200,0.00464495,921600,0.0348322,141.337,0.0104296,701.319,0.0430778
52 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194040,47040,343720,47040,15193920,0.0167074,153600,0.0139348,1082880,0.0409278,152.621,0.0337869,275.42,0.0507522
53 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188160,0,116160,47040,6914880,0.00760365,69120,0.00627068,576000,0.0217701,113.643,0.0113211,319.389,0.0264845
54 ,0,0,0,0,0,0,153600,0,153600,307200,0,307200,415520,47040,462560,23275,4287,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219520,15680,349600,0,15076320,0.016578,51200,0.00464495,921600,0.0348322,141.337,0.0104296,701.319,0.0430778
55 ,0,0,0,0,0,0,180480,0,180480,1002240,0,1002240,196000,282240,478240,15924,25725,41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194040,47040,343720,47040,15193920,0.0167074,153600,0.0139348,1082880,0.0409278,152.621,0.0337869,275.42,0.0507522
56 ,0,0,0,0,0,0,96000,0,96000,495360,0,495360,47040,47040,94080,7350,7350,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188160,0,116160,47040,6914880,0.00760365,69120,0.00627068,576000,0.0217701,113.643,0.0113211,319.389,0.0264845
57 ,0,0,0,0,0,0,307200,0,307200,614400,0,614400,815360,94080,909440,44100,8575,52675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683520,0,439040,31360,30136960,0.0331388,102400,0.0092899,1843200,0.0696643,140.765,0.0207747,700.609,0.0860685
58 ,0,0,0,0,0,0,445440,0,445440,2565120,0,2565120,517440,565760,1083200,41648,44300,85948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513520,1280,664400,62720,40267520,0.0442785,409600,0.0371596,2672640,0.101013,132.991,0.0785097,252.48,0.124067
59 ,0,0,0,0,0,0,163840,0,163840,327678,0,327678,10240,128,10368,533,20,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163840,128,10240,0,328064,0.000360742,54614,0.00495467,983040,0.0371543,74.7324,0.0058824,660.87,0.0433001
